Ma,Re_L,alpha_L,c_i,c_r,family
3,1232.350046,0.057931,1.71451445e-02,4.04567782e-01,TS
3,1386.335959,0.057931,1.73901137e-02,4.02933490e-01,TS
3,1559.562883,0.057931,1.73914150e-02,4.01341626e-01,TS
3,1754.435043,0.057931,1.71552636e-02,3.99836088e-01,TS
3,1973.657075,0.057931,1.66977973e-02,3.98463785e-01,TS
3,2220.271572,0.057931,1.60480111e-02,3.97272273e-01,TS
3,2497.701306,0.057931,1.52506496e-02,3.96305338e-01,TS
3,2809.796735,0.057931,1.43675956e-02,3.95595709e-01,TS
3,3160.889444,0.057931,1.34750802e-02,3.95155236e-01,TS
3,3555.852262,0.057931,1.26538554e-02,3.94965613e-01,TS
3,4000.166894,0.057931,1.19725308e-02,3.94975806e-01,TS
3,4500.000000,0.057931,1.14704663e-02,3.95111432e-01,TS
3,300.000000,0.065517,-3.30118293e-02,-2.41235160e-01,TS
3,337.485919,0.065517,-3.20056655e-02,-2.43823060e-01,TS
3,379.655818,0.065517,-3.09764678e-02,-2.46295433e-01,TS
3,427.094976,0.065517,-2.99336675e-02,-2.48654995e-01,TS
3,480.461801,0.065517,-2.88851876e-02,-2.50905050e-01,TS
3,540.496975,0.065517,-2.78376402e-02,-2.53049262e-01,TS
3,608.033727,0.065517,-2.67965009e-02,-2.55091482e-01,TS
3,684.009404,0.065517,-2.57662675e-02,-2.57035617e-01,TS
3,769.478474,0.065517,-2.47506132e-02,-2.58885527e-01,TS
3,865.627167,0.065517,-2.37525384e-02,-2.60644952e-01,TS
3,973.789933,0.065517,-2.27745200e-02,-2.62317477e-01,TS
3,1095.467968,0.065517,1.42434357e-02,4.48912774e-01,TS
3,1232.350046,0.065517,1.38750966e-02,4.47741040e-01,TS
3,1386.335959,0.065517,1.33271630e-02,4.46743311e-01,TS
3,1559.562883,0.065517,1.26493013e-02,4.45958658e-01,TS
3,1754.435043,0.065517,1.19060415e-02,4.45411352e-01,TS
3,1973.657075,0.065517,1.11710494e-02,4.45102447e-01,TS
3,2220.271572,0.065517,1.05155708e-02,4.45004483e-01,TS
3,2497.701306,0.065517,9.99363613e-03,4.45063934e-01,TS
3,2809.796735,0.065517,9.63052655e-03,4.45212933e-01,TS
3,3160.889444,0.065517,9.42059667e-03,4.45385791e-01,TS
3,3555.852262,0.065517,9.33487862e-03,4.45532615e-01,TS
3,4000.166894,0.065517,9.33339743e-03,4.45625250e-01,TS
3,4500.000000,0.065517,9.37648091e-03,4.45655921e-01,TS
