frequency_hz,frequency_khz,x0_m,x1_m,x_left_m,x_right_m,x_left_mm,x_right_mm
472000.0,472.0,0.017425,0.0397,0.017425,0.0397,17.425,39.699999999999996
474000.0,474.0,0.017425,0.0397,0.017425,0.0397,17.425,39.699999999999996
476000.0,476.0,0.017425,0.037225,0.017425,0.037225,17.425,37.225
478000.0,478.0,0.017425,0.037225,0.017425,0.037225,17.425,37.225
480000.0,480.0,0.017425,0.037225,0.017425,0.037225,17.425,37.225
482000.0,482.0,0.017425,0.037225,0.017425,0.037225,17.425,37.225
484000.0,484.0,0.017425,0.037225,0.017425,0.037225,17.425,37.225
486000.0,486.0,0.017425,0.037225,0.017425,0.037225,17.425,37.225
488000.0,488.0,0.017425,0.037225,0.017425,0.037225,17.425,37.225
490000.0,490.0,0.017425,0.03475,0.017425,0.03475,17.425,34.75
492000.0,492.0,0.017425,0.03475,0.017425,0.03475,17.425,34.75
494000.0,494.0,0.017425,0.03475,0.017425,0.03475,17.425,34.75
496000.0,496.0,0.017425,0.03475,0.017425,0.03475,17.425,34.75
498000.0,498.0,0.017425,0.03475,0.017425,0.03475,17.425,34.75
500000.0,500.0,0.01495,0.03475,0.01495,0.03475,14.95,34.75
502000.0,502.0,0.01495,0.03475,0.01495,0.03475,14.95,34.75
504000.0,504.0,0.01495,0.03475,0.01495,0.03475,14.95,34.75
506000.0,506.0,0.01495,0.03475,0.01495,0.03475,14.95,34.75
508000.0,508.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
510000.0,510.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
512000.0,512.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
514000.0,514.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
516000.0,516.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
518000.0,518.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
520000.0,520.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
522000.0,522.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
524000.0,524.0,0.01495,0.032275,0.01495,0.032275,14.95,32.275
526000.0,526.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
528000.0,528.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
530000.0,530.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
532000.0,532.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
534000.0,534.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
536000.0,536.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
538000.0,538.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
540000.0,540.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
542000.0,542.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
544000.0,544.0,0.01495,0.0298,0.01495,0.0298,14.95,29.8
546000.0,546.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
548000.0,548.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
550000.0,550.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
552000.0,552.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
554000.0,554.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
556000.0,556.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
558000.0,558.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
560000.0,560.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
562000.0,562.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
564000.0,564.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
566000.0,566.0,0.01495,0.027325,0.01495,0.027325,14.95,27.325
568000.0,568.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
570000.0,570.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
572000.0,572.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
574000.0,574.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
576000.0,576.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
578000.0,578.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
580000.0,580.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
582000.0,582.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
584000.0,584.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
586000.0,586.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
588000.0,588.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
590000.0,590.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
592000.0,592.0,0.01495,0.02485,0.01495,0.02485,14.95,24.85
594000.0,594.0,0.01495,0.022375,0.01495,0.022375,14.95,22.375
596000.0,596.0,0.01495,0.022375,0.01495,0.022375,14.95,22.375
598000.0,598.0,0.01495,0.022375,0.01495,0.022375,14.95,22.375
600000.0,600.0,0.01495,0.022375,0.01495,0.022375,14.95,22.375
