Ma,Re_L,alpha_L,c_i
3,1754.435043,0.171724,1.43548368e-03
3,1754.435043,0.179310,1.02465565e-03
3,1754.435043,0.186897,5.63591894e-04
3,1754.435043,0.194483,2.39336004e-04
3,1754.435043,0.202069,5.52430332e-05
3,1754.435043,0.209655,-4.63374874e-05
3,1754.435043,0.217241,1.33865928e-04
3,1754.435043,0.224828,1.98655420e-04
3,1754.435043,0.232414,4.59022704e-05
3,1754.435043,0.240000,-1.92377372e-04
3,1973.657075,0.020000,
3,1973.657075,0.027586,-1.72645936e-02
3,1973.657075,0.035172,-1.73798354e-02
3,1973.657075,0.042759,8.71487567e-03
3,1973.657075,0.050345,1.87461550e-02
3,1973.657075,0.057931,1.66977973e-02
3,1973.657075,0.065517,1.11710494e-02
3,1973.657075,0.073103,-1.43631665e-02
3,1973.657075,0.080690,-7.13895827e-03
3,1973.657075,0.088276,-2.42822870e-03
3,1973.657075,0.095862,1.95202097e-03
3,1973.657075,0.103448,4.62010179e-03
3,1973.657075,0.111034,5.06187790e-03
3,1973.657075,0.118621,3.98811799e-03
3,1973.657075,0.126207,2.74429243e-03
3,1973.657075,0.133793,1.98590132e-03
3,1973.657075,0.141379,1.59413008e-03
3,1973.657075,0.148966,1.34694466e-03
3,1973.657075,0.156552,1.18770023e-03
3,1973.657075,0.164138,1.62626411e-03
3,1973.657075,0.171724,1.42589114e-03
3,1973.657075,0.179310,9.25844643e-04
3,1973.657075,0.186897,4.89936529e-04
3,1973.657075,0.194483,2.32000644e-04
3,1973.657075,0.202069,1.00910387e-04
3,1973.657075,0.209655,4.18975489e-05
3,1973.657075,0.217241,3.02050669e-04
3,1973.657075,0.224828,2.68937460e-04
3,1973.657075,0.232414,4.42882586e-05
3,1973.657075,0.240000,-1.95777538e-04
3,2220.271572,0.020000,
3,2220.271572,0.027586,-1.65344913e-02
3,2220.271572,0.035172,-1.52671998e-02
3,2220.271572,0.042759,1.05157554e-02
3,2220.271572,0.050345,1.92840954e-02
3,2220.271572,0.057931,1.60480111e-02
3,2220.271572,0.065517,1.05155708e-02
3,2220.271572,0.073103,-1.35648701e-02
3,2220.271572,0.080690,-6.75749185e-03
3,2220.271572,0.088276,-1.80009245e-03
3,2220.271572,0.095862,2.59930705e-03
3,2220.271572,0.103448,5.01368666e-03
3,2220.271572,0.111034,5.00797015e-03
3,2220.271572,0.118621,3.68444396e-03
3,2220.271572,0.126207,2.53165382e-03
3,2220.271572,0.133793,1.94080589e-03
3,2220.271572,0.141379,1.64223413e-03
3,2220.271572,0.148966,1.42523974e-03
3,2220.271572,0.156552,1.46536811e-03
3,2220.271572,0.164138,1.72505943e-03
3,2220.271572,0.171724,1.35219929e-03
3,2220.271572,0.179310,8.11177936e-04
3,2220.271572,0.186897,4.35365012e-04
3,2220.271572,0.194483,2.46980890e-04
3,2220.271572,0.202069,1.58331429e-04
3,2220.271572,0.209655,2.51302531e-04
3,2220.271572,0.217241,4.22532341e-04
3,2220.271572,0.224828,2.87414228e-04
3,2220.271572,0.232414,1.26227378e-05
3,2220.271572,0.240000,-1.23406598e-04
3,2497.701306,0.020000,
3,2497.701306,0.027586,-1.58207625e-02
3,2497.701306,0.035172,-1.32060788e-02
3,2497.701306,0.042759,1.21955651e-02
3,2497.701306,0.050345,1.95914516e-02
3,2497.701306,0.057931,1.52506496e-02
3,2497.701306,0.065517,9.99363613e-03
3,2497.701306,0.073103,-1.28156404e-02
3,2497.701306,0.080690,-6.39931977e-03
3,2497.701306,0.088276,-1.17315051e-03
3,2497.701306,0.095862,3.22272406e-03
3,2497.701306,0.103448,5.30881464e-03
3,2497.701306,0.111034,4.83549428e-03
3,2497.701306,0.118621,3.36396413e-03
3,2497.701306,0.126207,2.37801877e-03
3,2497.701306,0.133793,1.94218362e-03
3,2497.701306,0.141379,1.70628477e-03
3,2497.701306,0.148966,1.50051695e-03
3,2497.701306,0.156552,1.69547355e-03
3,2497.701306,0.164138,1.74797200e-03
3,2497.701306,0.171724,1.22979093e-03
3,2497.701306,0.179310,7.01511841e-04
3,2497.701306,0.186897,4.06540365e-04
3,2497.701306,0.194483,2.80322851e-04
3,2497.701306,0.202069,2.20979206e-04
3,2497.701306,0.209655,4.27050790e-04
3,2497.701306,0.217241,4.90488068e-04
3,2497.701306,0.224828,2.60697487e-04
3,2497.701306,0.232414,1.78464693e-06
3,2497.701306,0.240000,-6.10497079e-05
3,2809.796735,0.020000,
3,2809.796735,0.027586,-1.51243704e-02
3,2809.796735,0.035172,-1.11875844e-02
3,2809.796735,0.042759,1.37414807e-02
3,2809.796735,0.050345,1.96638921e-02
3,2809.796735,0.057931,1.43675956e-02
3,2809.796735,0.065517,9.63052655e-03
3,2809.796735,0.073103,-1.21119652e-02
3,2809.796735,0.080690,-6.01019178e-03
3,2809.796735,0.088276,-5.46279398e-04
3,2809.796735,0.095862,3.81130727e-03
3,2809.796735,0.103448,5.49054316e-03
3,2809.796735,0.111034,4.56088097e-03
3,2809.796735,0.118621,3.06537171e-03
3,2809.796735,0.126207,2.28790305e-03
3,2809.796735,0.133793,1.97634122e-03
3,2809.796735,0.141379,1.77434450e-03
3,2809.796735,0.148966,1.56701882e-03
3,2809.796735,0.156552,1.86693851e-03
3,2809.796735,0.164138,1.69576414e-03
3,2809.796735,0.171724,1.08024834e-03
3,2809.796735,0.179310,6.12885724e-04
3,2809.796735,0.186897,4.03425998e-04
3,2809.796735,0.194483,3.25467787e-04
3,2809.796735,0.202069,2.82593470e-04
3,2809.796735,0.209655,5.62225914e-04
3,2809.796735,0.217241,5.04504925e-04
3,2809.796735,0.224828,2.00817346e-04
3,2809.796735,0.232414,5.57805671e-05
3,2809.796735,0.240000,-7.52180016e-06
3,3160.889444,0.020000,
3,3160.889444,0.027586,-1.44460987e-02
3,3160.889444,0.035172,-9.20541892e-03
3,3160.889444,0.042759,1.51405708e-02
3,3160.889444,0.050345,1.95015550e-02
3,3160.889444,0.057931,1.34750802e-02
3,3160.889444,0.065517,9.42059667e-03
3,3160.889444,0.073103,-1.14508385e-02
3,3160.889444,0.080690,-5.46592452e-03
3,3160.889444,0.088276,8.05793046e-05
3,3160.889444,0.095862,4.35173264e-03
3,3160.889444,0.103448,5.54738820e-03
3,3160.889444,0.111034,4.21279077e-03
3,3160.889444,0.118621,2.81954198e-03
3,3160.889444,0.126207,2.25415683e-03
3,3160.889444,0.133793,2.02829785e-03
