lobe,Re,alpha,mode
upper,1750,0.3532,second
lower,1750,0.3152,second
upper,1800,0.3539,second
lower,1800,0.3149,second
upper,1850,0.3545,second
lower,1850,0.3142,second
upper,1900,0.3552,second
lower,1900,0.3142,second
upper,1950,0.3558,second
lower,1950,0.3136,second
upper,2000,0.3565,second
lower,2000,0.3136,second
upper,2050,0.3571,second
lower,2050,0.3129,second
upper,2100,0.3578,second
lower,2100,0.3129,second
upper,2150,0.3584,second
lower,2150,0.3126,second
upper,2200,0.3591,second
lower,2200,0.3123,second
upper,2250,0.3597,second
lower,2250,0.3123,second
upper,2300,0.3597,second
lower,2300,0.3123,second
upper,2350,0.3604,second
lower,2350,0.3116,second
upper,2400,0.361,second
lower,2400,0.3116,second
upper,2450,0.3617,second
lower,2450,0.3113,second
upper,2500,0.362,second
lower,2500,0.311,second
upper,2550,0.3623,second
lower,2550,0.311,second
upper,2600,0.363,second
lower,2600,0.311,second
upper,2650,0.363,second
lower,2650,0.311,second
upper,2700,0.3636,second
lower,2700,0.3103,second
upper,2750,0.3636,second
lower,2750,0.3103,second
upper,2800,0.3643,second
lower,2800,0.3103,second
upper,2850,0.3649,second
lower,2850,0.31,second
upper,2900,0.3649,second
lower,2900,0.31,second
upper,2950,0.3656,second
lower,2950,0.3097,second
upper,3000,0.3656,second
lower,3000,0.3097,second
upper,3050,0.3662,second
lower,3050,0.3097,second
upper,3100,0.3662,second
lower,3100,0.3097,second
upper,3150,0.3669,second
lower,3150,0.309,second
upper,3200,0.3669,second
lower,3200,0.309,second
upper,3250,0.3672,second
lower,3250,0.309,second
upper,3300,0.3675,second
lower,3300,0.309,second
upper,3350,0.3675,second
lower,3350,0.309,second
upper,3400,0.3682,second
lower,3400,0.3087,second
upper,3450,0.3682,second
lower,3450,0.3087,second
upper,3500,0.3688,second
lower,3500,0.3084,second
upper,3550,0.3688,second
lower,3550,0.3084,second
upper,3600,0.3695,second
lower,3600,0.3084,second
upper,3650,0.3695,second
lower,3650,0.3084,second
upper,3700,0.3695,second
lower,3700,0.3084,second
upper,3750,0.3701,second
lower,3750,0.3077,second
upper,3800,0.3701,second
lower,3800,0.3077,second
upper,3850,0.3701,second
lower,3850,0.3077,second
upper,3900,0.3708,second
lower,3900,0.3077,second
upper,3950,0.3708,second
lower,3950,0.3077,second
upper,4000,0.3708,second
lower,4000,0.3077,second
upper,4050,0.3714,second
lower,4050,0.3074,second
upper,4100,0.3714,second
lower,4100,0.3074,second
upper,4150,0.3721,second
lower,4150,0.3074,second
upper,4200,0.3721,second
lower,4200,0.3071,second
upper,4250,0.3721,second
lower,4250,0.3071,second
upper,4300,0.3721,second
lower,4300,0.3071,second
upper,4350,0.3727,second
lower,4350,0.3071,second
upper,4400,0.3727,second
lower,4400,0.3071,second
upper,4450,0.3727,second
lower,4450,0.3071,second
upper,4500,0.3734,second
lower,4500,0.3064,second
upper,4550,0.3734,second
lower,4550,0.3064,second
upper,4600,0.3734,second
lower,4600,0.3064,second
upper,4650,0.3734,second
lower,4650,0.3064,second
upper,4700,0.374,second
lower,4700,0.3064,second
upper,4750,0.374,second
lower,4750,0.3064,second
upper,4800,0.374,second
lower,4800,0.3064,second
upper,4850,0.3747,second
lower,4850,0.3064,second
upper,4900,0.3747,second
lower,4900,0.3061,second
upper,4950,0.3747,second
lower,4950,0.3061,second
