Ma,Re_L,alpha_L,c_i
4,1095.467968,0.156552,7.88460464e-05
4,1095.467968,0.164138,-1.06633931e-04
4,1095.467968,0.171724,-2.66217981e-04
4,1095.467968,0.179310,-4.29648608e-04
4,1095.467968,0.186897,-5.47534879e-04
4,1095.467968,0.194483,-6.21101432e-04
4,1095.467968,0.202069,-6.66622033e-04
4,1095.467968,0.209655,-9.40142992e-04
4,1095.467968,0.217241,-1.01267727e-03
4,1095.467968,0.224828,-1.05573012e-03
4,1095.467968,0.232414,-1.07915803e-03
4,1095.467968,0.240000,-1.09223391e-03
4,1232.350046,0.020000,-2.76471021e-02
4,1232.350046,0.027586,1.57130903e-02
4,1232.350046,0.035172,-2.69828047e-02
4,1232.350046,0.042759,-8.91043084e-03
4,1232.350046,0.050345,-5.02657509e-04
4,1232.350046,0.057931,5.78867347e-03
4,1232.350046,0.065517,7.37034230e-03
4,1232.350046,0.073103,6.18506156e-03
4,1232.350046,0.080690,1.23962876e-04
4,1232.350046,0.088276,2.14867312e-03
4,1232.350046,0.095862,2.82936377e-03
4,1232.350046,0.103448,2.49286405e-03
4,1232.350046,0.111034,1.86802702e-03
4,1232.350046,0.118621,7.31187972e-04
4,1232.350046,0.126207,1.03409996e-03
4,1232.350046,0.133793,8.72526011e-04
4,1232.350046,0.141379,5.56757224e-04
4,1232.350046,0.148966,2.98480437e-04
4,1232.350046,0.156552,1.35512361e-04
4,1232.350046,0.164138,-2.29620729e-05
4,1232.350046,0.171724,-2.10646746e-04
4,1232.350046,0.179310,-3.64863697e-04
4,1232.350046,0.186897,-4.61728849e-04
4,1232.350046,0.194483,-5.17644512e-04
4,1232.350046,0.202069,-5.52639151e-04
4,1232.350046,0.209655,-8.38581952e-04
4,1232.350046,0.217241,-8.97266348e-04
4,1232.350046,0.224828,-9.28260083e-04
4,1232.350046,0.232414,-9.44220054e-04
4,1232.350046,0.240000,-9.53977551e-04
4,1386.335959,0.020000,-2.41848036e-02
4,1386.335959,0.027586,1.75217572e-02
4,1386.335959,0.035172,-2.61115040e-02
4,1386.335959,0.042759,-8.52809560e-03
4,1386.335959,0.050345,3.31991138e-04
4,1386.335959,0.057931,6.40979400e-03
4,1386.335959,0.065517,7.46916178e-03
4,1386.335959,0.073103,5.95637286e-03
4,1386.335959,0.080690,5.61899918e-04
4,1386.335959,0.088276,2.49430291e-03
4,1386.335959,0.095862,2.93975282e-03
4,1386.335959,0.103448,2.42383133e-03
4,1386.335959,0.111034,1.79165332e-03
