freq_parameter,F_x1e4,lower_neutral_R_L,upper_neutral_R_L,peak_growth_R_L,peak_sigma_L,peak_wavelength_L,N_signed_peak,amplification_signed_peak,frequency_khz,F_times_1e4,x_mm,L_star_m,L_star_mm,sigma_per_m,sigma_per_mm,alpha_r_per_m,alpha_r_per_mm,alpha_i_per_m,alpha_i_per_mm,wavelength_mm,phase_speed_m_per_s,lower_neutral_x_mm,upper_neutral_x_mm,peak_growth_x_mm,peak_wavelength_mm
0.0001545293,1.545293,588.5405288548276,1351.7684187275102,1122.6060237497359,0.0033405456500891465,33.44726479497685,1.6348585407480798,5.128732439055799,247.00004897117148,1.545293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.557486632063224,155.9262890851404,107.53986526232643,3.20407540432638
0.0001564061,1.564061,588.5407850331076,1336.2533286368641,1104.8059210242884,0.0033306865676075168,33.59312435780753,1.6092680952660188,4.9991509862501875,249.99993114179605,1.564061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.55751236346952,152.3675034305418,104.15658632966249,3.167022452244937
0.0001603163,1.603163,570.7866390356482,1305.3471090060132,1087.005818298841,0.003309058363591942,33.26636010354654,1.5586742735467642,4.7525165300141685,256.2500053444688,1.603163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.801123609529572,145.40079289853531,100.82738155484938,3.085687239789158
0.0001642265,1.6422649999999999,565.2569830042961,1275.6411304780008,1051.4056128479458,0.0032958620418285667,33.60884500992255,1.509708535767498,4.525411606454922,262.5000795471415,1.6422649999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.265070429815943,138.85827921026225,94.33119447877559,3.0153562584191067
0.0001681366,1.6813660000000001,566.1845507208322,1246.904689791745,1033.6055101224983,0.0032785928005035813,33.35827958331128,1.4629551664330034,4.318703175930835,268.74999390954514,1.6813660000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.354625977343222,132.67260859475442,91.16421217751494,2.9422069135926323
0.0001720468,1.720468,567.7842463082088,1219.7368818461011,998.0053046716032,0.003249321511216186,33.809813099387085,1.4183685081284652,4.130376264911137,275.00006811221783,1.720468,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.509419649379513,126.95419719512726,84.99247004854608,2.8793228991324433
0.0001751749,1.751749,569.5698382835744,1198.5595286079572,980.2052019461557,0.0032359566003921343,33.8039595757703,1.384199441632392,3.991629093299234,280.0000315701946,1.751749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.682717297435516,122.58405102299415,81.98771022083791,2.827478610103742
0.0001759569,1.759569,570.0881223448841,1193.2381652620513,980.2052019461557,0.0032427347899945677,33.63339113493336,1.3758679460824603,3.958511006438933,281.24998247462145,1.759569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27.7331203840925,121.49797029316805,81.98771022083791,2.8132116832680207
0.0001798671,1.7986710000000001,573.430353568302,1168.1541272868826,962.4050992207083,0.0032277989884926064,33.48953638044796,1.3353589824935388,3.8013603233186113,287.5000566772942,1.7986710000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.059253146877836,116.44344536822787,79.03702455098056,2.7503109774103613
0.0001837772,1.837772,577.661136262246,1143.717817101453,944.6049964952606,0.003208199041918823,33.3774287229157,1.296775262296627,3.6574832062048084,293.7499710396978,1.837772,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.474824223890106,111.62270041331158,76.14041303897399,2.6904062741261043
